IZO;Je základní;adresa1;adresa2;adresa3
#108006018;TRUE;Opletalova 1266/4;466 01 Jablonec nad Nisou
#108006166;FALSE;Opletalova 1266/4;466 01 Jablonec nad Nisou
#181005328;FALSE;Opletalova 1266/4;466 01 Jablonec nad Nisou
#102331081;FALSE;763 14 Zlín - Štípa
#102331081;FALSE;Zádveřice;763 12 Vizovice
#102213461;FALSE;Brixiho nouz.stavba 32;162 00 Praha 6
#060075996;FALSE;Dobrovodská 69;370 06 České Budějovice
#000400963;FALSE;náměstí Republiky;614 00 Brno
#110009398;FALSE;Gahurova 1;760 01 Zlín
#046254323;FALSE;Tyršovo náměstí 363;686 01 Uherské Hradiště
#047654279;FALSE;Zábraní 514;783 44 Náměšť na Hané
#102532397;FALSE;Bulharská;708 00 Ostrava - Poruba
#181007002;FALSE;Rostislavova 7;702 00 Ostrava - Vítkovice
#000639133;FALSE;Průhonická 8 č.ev.;Záběhlice;106 00 Praha 10
#107820340;FALSE;Tylova parc. č. st. 2375;258 01 Vlašim
#000069540;FALSE;Hořín;276 01 Mělník
#102814309;FALSE;Hrabákova 271;261 80 Příbram II
#000077305;FALSE;Chlumská hora;364 52 Pšov
#110100018;FALSE;Chlumská hora;364 52 Pšov
#000497061;FALSE;Jateční - tesárna;312 00 Plzeň-Bílá Hora
#047274719;FALSE;k. ú. Císařský, objekt na parc. č. 449;407 77 Šluknov - Kunratice
#047274719;FALSE;Dr. E. Beneše, objekt na parc. č. 803;407 77 Šluknov
#000081663;FALSE;Benešovská 76;405 02 Děčín - Libverda
#000082015;FALSE;Bohušovice nad Ohří, Hrdly;412 01 Litoměřice
#060153296;FALSE;Babí;541 02 Trutnov
#110029283;FALSE;Babí;541 02 Trutnov
#049314912;FALSE;Ústecká 36;561 51 Letohrad
#181109239;FALSE;Ústecká 36;561 51 Letohrad
#181014921;FALSE;Mendlovo nám. 3/4;624 00 Brno
#181014912;FALSE;Mendlovo nám. 3/4;624 00 Brno
#107870762;FALSE;Za Mlýnem 146;666 25 Tišnov
#103179381;FALSE;Sovadinova 6;690 02 Břeclav
#000055107;FALSE;Zahradnický areál "Vazová";688 01 Uherský Brod
#102867071;FALSE;Na Střelnici;672 01 Moravský Krumlov
#107870941;FALSE;Na Padochovce 4 1335;664 91 Ivančice
#110014359;FALSE;č.p. 414;687 08 Břestek
#000602035;FALSE;Křelov;783 36 Křelov - Břuchotín
#000602035;FALSE;Křelov;783 36 Křelov - Břuchotín
#000602035;FALSE;Křelov;783 36 Křelov - Břuchotín
#110022670;FALSE;Komenského 7;746 01 Opava
#110025938;FALSE;Hranice VI - Valšovice 33;753 54 Soběchleby
#108007022;TRUE;Zdeňka Štěpánka 340;434 01 Most
#108007022;TRUE;J. E. Purkyně 270/5;434 01 Most
#110020669;FALSE;Zdeňka Štěpánka 340;434 01 Most
#166100366;FALSE;Zdeňka Štěpánka 340;434 01 Most
#110000021;TRUE;17. listopadu 951;549 31 Hronov
#110011546;FALSE;Stavbařů 304;530 09 Pardubice
#110003381;FALSE;Kyjevská 500;532 03 Pardubice
#060158981;TRUE;Kyjevská 500;532 03 Pardubice
#181068729;FALSE;Milady Horákové 488;568 02 Svitavy
#181068729;FALSE;Milady Horákové 493;568 02 Svitavy
#060154021;FALSE;Labský Mlýn - Deymova 1;543 71 Hostinné
#181066751;FALSE;Obchodní 282;542 25 Janské Lázně
#181065983;TRUE;Rašelinová 11;628 00 Brno
#110022238;FALSE;Tetín 7;796 01 Prostějov
#110022246;FALSE;
#110005007;FALSE;671 65 Břežany 1
#181068826;FALSE;Nedbalova 35 29;772 00 Olomouc - Topolany
#110022939;FALSE;Příluky 372;760 01 Zlín
#102814601;FALSE;331 05 Tis u Blatna
#102814732;FALSE;Jakub 91;285 33 Církvice
#060077638;FALSE;Förstrova 1291;370 07 České Budějovice
#060077638;FALSE;Přední Výtoň;382 73 Vyšší Brod
#000665711;FALSE;Zátoň 11;382 11 Větřní
#108017010;FALSE;Hradební 44;377 01 Jindřichův Hradec
#110023927;FALSE;V Hati 1022/1;394 94 Černovice
#110023927;FALSE;V Hati 1005/2;394 94 Černovice
#110034562;FALSE;Strunkovice nad Blanicí, Žíchovec 17;383 01 Prachatice
#002164833;FALSE;Zálesí 63;387 19 Čestice
#102188157;FALSE;Kunkovice 17;339 01 Čachrov
#110150724;FALSE;Havlíčkova 443;470 01 Česká Lípa
#110033809;FALSE;k.ú. Buškovice, parc. č. St. 110 (Truhlářská dílna);441 01 Podbořany
#110033809;FALSE;k.ú. Buškovice, parc. č. St. 130 (Stodola);441 01 Podbořany
#102565911;FALSE;Sochorova 1726/6;419 01 Duchcov
#102104565;FALSE;Karolín 53, 54;679 02 Rájec-Jestřebí
#102104565;FALSE;Školní 518;678 02 Rájec-Jestřebí
#102104565;FALSE;Purkyňova 3;678 01 Blansko
#102104565;FALSE;Bezručova 33;678 01 Blansko
#102104573;FALSE;Sokolská 13;680 01 Boskovice
#108010597;FALSE;Turistická základna Kančí obora;690 02 Břeclav
#108010597;FALSE;Turistická základna Apollo;691 44 Lednice
#108010597;FALSE;Kupkova 1;690 02 Břeclav
#108010597;FALSE;Veslařská 1;690 02 Břeclav
#108010597;FALSE;Sady 28. října 1;690 21 Břeclav
#108010562;FALSE;691 82 Novosedly 3
#049939424;FALSE;poz. p.č. 35/3 k.ú. Strážnice na Moravě (budova bez č.p./č.e.);696 62 Strážnice
#181123908;FALSE;parc. č. 502/1;674 01 Třebíč
