Amurská;0;10000;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Bohdalecká;0;10000;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Brtnická;0;10000;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Elektrárenská;0;10000;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Gruzínská;1; 8;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Chodovská;0;10000;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Jerevanská;1; 10;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
K topírně;0;10000;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Karpatská;1; 10;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Kišiněvská;1; 10;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Kubánské náměstí;12;10000;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Lvovská;0;10000;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Modletínská;0;10000;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Moskevská;92;92;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Na Bohdalci;0;10000;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Na hroudě;1; 23;odd;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Na křivce;0;10000;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Na pahorku;0;10000;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Na slatinách;0;10000;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
